feature,importance_mean,importance_std
absence_count,0.05357175925925935,0.015069321947217898
participation_level_num,0.03294444444444453,0.008395950445424887
behavior_score,0.022289351851851935,0.005769909376197674
midterm_score,0.020199074074074185,0.007071720994622795
night_study,0.004474537037037119,0.0027230438968420772
question_count,0.0043958333333334095,0.004310666893358921
assignment_count,0.0018472222222222889,0.0022571949053809795
final_score,0.0,0.0
final_score_missing,0.0,0.0
midterm_score_missing,0.0,0.0
performance_score_missing,0.0,0.0
performance_score,-0.0002129629629628982,0.0010967826123555611
